Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00-7:00,Yoga & Breakfast,Yoga & Breakfast,Yoga & Breakfast,Yoga & Breakfast,Yoga & Breakfast,Sleep In,Brunch & Planning
7:00-8:00,Breakfast & Email,Breakfast & Email,Breakfast & Email,Breakfast & Email,Breakfast & Email,Breakfast & Planning,Brunch & Planning
8:00-9:00,Deep Work,Deep Work,Deep Work,Deep Work,Email & Admin,Personal,Family Time
9:00-10:00,Deep Work,Deep Work,Deep Work,Deep Work,Email & Admin,Personal,Family Time
10:00-11:00,Deep Work,Client Call,Deep Work,Deep Work,Strategic Planning,Exercise,Exercise
11:00-12:00,Meeting Prep,Deep Work,Client Call,Strategic Meeting,Review Day,Walk & Coffee,Walk & Coffee
12:00-1:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:00,Meeting - Team,Admin Tasks,Meeting - Client,Admin Tasks,Reflection,Errands,Dinner Prep
2:00-3:00,Meeting - 1-on-1s,Deep Work,Meeting - Review,Deep Work,Personal Dev,Social/Hobby,Movie or Reading
3:00-4:00,Deep Work,Meeting,Deep Work,Meeting,Prep for Week,Hobby,Hobby
4:00-5:00,Break & Walk,Break & Walk,Break & Walk,Break & Walk,Buffer Time,Coffee,Relaxation
5:00-6:00,Project Work,Project Work,Project Work,Project Work,Wind Down,Dinner,Dinner
6:00-7:00,Personal Time,Personal Time,Personal Time,Personal Time,Personal Time,Social,Social
