Date,Source,Product/Service,Amount,Commission %,Commission Amount,Status,Notes,Traffic/Referrals
2024-01-02,Affiliate - SaaS,Project Management Tool,4200,10%,420,Paid,3 customer referrals,3
2024-01-05,Affiliate - Course,Online Business Course,189,20%,37.80,Paid,1 referral,1
2024-01-08,Affiliate - Hosting,Web Hosting Provider,2500,8%,200,Pending,2 referrals in pending status,2
2024-01-10,Coaching,1-on-1 Business Coaching,5000,100%,5000,Paid,Personal service delivery,1
2024-01-12,Product Sales,Digital Template Bundle,890,100%,890,Paid,Sold via email list,23 clicks
2024-01-15,Affiliate - Marketing,Email Marketing Platform,3400,12%,408,Pending,4 referrals - high-value accounts,4
2024-01-18,Workshop,Half-day productivity workshop,2000,100%,2000,Paid,6 participants,6
2024-01-22,Affiliate - Analytics,Business Intelligence Software,1500,15%,225,Pending,2 enterprise referrals,2
2024-01-25,Sponsorship,Company sponsorship,10000,100%,10000,Paid,Q1 sponsorship deal,1
2024-01-28,Course Sales,Own online course,4500,100%,4500,Paid,18 students enrolled,45 clicks
,,,,,,,MONTHLY TOTALS,
,Tracking Note: Monitor conversion rates and average order values by source,,,,,,,
,Best performing: Coaching (highest margin) and Own products (most sales),,,,,,,
,Focus on growing: Product sales and SaaS affiliate traffic,,,,,,,
